"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"662","Tyson Hinds","ANA","D","6","4.3333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"663","Logan Mailloux","STL","D","67","46.816666666667","0","0","0","0","0","0.00","3","0.00","0","3","3","0","0","1","0","0","0","0","0","0","0","1","0","1","1","5","0","0","-"
"664","Zachary Bolduc","MTL","R","78","1.2333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"665","Wyatt Johnston","DAL","C","82","41.55","0","0","0","0","0","-","1","0.00","0.13","4","3","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","13","15","46.43"
"666","Zachary L'Heureux","NSH","L","25","46.15","0","0","0","0","0","-","0","-","0.05","1","1","0","0","0","0","0","0","0","0","0","1","1","0","1","1","2","0","1","0.00"
"667","Mason McTavish","ANA","C","75","7.2","0","0","0","0","0","-","1","0.00","0","1","1","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","2","3","40.00"
"668","Brennan Othmann","CGY, NYR","L","19","0.6","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"669","Ryan Winterton","SEA","C","68","65.216666666667","0","0","0","0","0","-","2","0.00","0.2","3","2","2","1","1","0","0","0","0","0","0","2","4","2","3","1","4","0","2","0.00"
"670","Ville Koivunen","PIT","R","39","0.033333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"674","Carson Lambos","MIN","D","1","1.2333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"675","Nikita Chibrikov","WPG","R","11","1.4666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"676","Olen Zellweger","ANA","D","76","68.166666666667","0","0","0","0","0","0.00","4","0.00","0.27","7","4","2","0","0","1","4","2","2","0","0","0","0","1","5","1","6","0","0","-"
"677","Ty Murchison","PHI","D","3","2.8833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","-"
"678","Ethan Del Mastro","CHI","D","19","14.883333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","-"
"679","Jackson Blake","CAR","R","81","3.2166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"681","Zack Ostapchuk","S.J","C","59","68.183333333333","0","0","0","0","0","-","2","0.00","0.76","4","4","4","4","1","1","2","1","1","0","0","0","2","3","1","0","5","30","41","42.25"
"682","Vincent Iorio","NYR, S.J","D","27","33.85","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","-"
"683","Topias Vilen","N.J","D","2","0.28333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"684","Jaroslav Chmelar","NYR","R","28","0.05","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"686","Joel Nystrom","CAR","D","38","42.433333333333","0","0","0","0","0","-","1","0.00","0","1","1","0","0","0","0","0","0","0","0","0","0","1","2","2","1","5","0","0","-"
"687","Emil Lilleberg","T.B","D","50","81.8","0","0","0","0","0","0.00","0","-","0.18","1","1","1","0","0","0","2","1","1","0","0","1","0","1","10","2","4","0","0","-"
"688","Zakhar Bardakov","COL","C","60","4.65","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","50.00"
"689","Arber Xhekaj","MTL","D","65","20.1","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","0","0","-"
"690","Avery Hayes","PIT","R","16","0.6","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","-"
"691","Arshdeep Bains","VAN","L","28","4.8","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","-"
"692","Declan Carlile","T.B","D","42","47.05","0","0","0","0","0","-","1","0.00","0","1","1","0","0","0","0","0","0","0","0","0","0","0","1","1","0","3","0","0","-"
"693","Lian Bichsel","DAL","D","50","46.45","0","0","0","0","0","-","1","0.00","0","1","1","0","0","0","0","0","0","0","0","0","0","2","2","5","0","2","0","0","-"
"695","Jorian Donovan","OTT","D","2","0.11666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"696","Nathan Gaucher","ANA","C","3","0.85","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","100.00"
"697","Cutter Gauthier","ANA","L","76","24.433333333333","0","0","0","0","0","0.00","1","0.00","0.15","2","1","1","1","1","0","2","1","1","0","0","0","0","0","0","0","1","2","1","66.67"
"698","Conor Geekie","T.B","C","14","1.15","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"699","Isaiah George","NYI","D","4","0.83333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"701","Hunter Haight","MIN","C","9","0.18333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"702","Lane Hutson","MTL","D","82","40.516666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","3","3","0","0","-"
"703","David Jiricek","MIN, PHI","D","26","10.533333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","0","-"
"704","Aleksanteri Kaskimaki","STL","C","5","0.46666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"706","Joakim Kemell","NSH","R","16","9.75","0","0","0","0","0","0.00","1","0.00","0.2","3","3","1","0","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","-"
"707","Kevin Korchinski","CHI","D","13","0.86666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"708","Kirill Kudryavtsev","VAN","D","3","0.083333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"709","Jiri Kulich","BUF","C","12","0.2","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"710","Denton Mateychuk","CBJ","D","75","117.16666666667","0","0","0","0","0","0.00","1","0.00","0.14","2","2","1","1","0","0","0","0","0","0","0","1","4","1","1","1","16","0","0","-"
"711","Rutger McGroarty","PIT","R","24","6.0166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"715","Simon Nemec","N.J","D","68","21.833333333333","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","-"
"717","Noah Ostlund","BUF","C","60","3.4166666666667","0","0","0","0","0","0.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2","0.00"
"718","Owen Pickering","PIT","D","4","0.15","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"719","Sam Rinzel","CHI","D","54","11.683333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","-"
"720","Elias Salomonsson","WPG","D","32","25.966666666667","0","0","0","0","0","-","1","0.00","0","1","1","0","0","1","0","2","1","1","0","0","0","1","0","1","0","5","0","0","-"
"722","Reid Schaefer","NSH","L","47","4.8333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","-"
"723","Juraj Slafkovský","MTL","L","82","2.5333333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"724","Jimmy Snuggerud","STL","R","70","0.5","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"725","Shane Wright","SEA","C","74","1.65","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0.00"
"726","Danila Yurov","MIN","R","73","18.6","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","2","1","1","0","0","0","1","0","1","0","0","1","7","12.50"
"727","Danil Zhilkin","WPG","C","6","4.8333333333333","0","0","0","0","0","-","0","-","0.08","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","50.00"
"728","Marc Gatcomb","NYI","C","49","0.41666666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"729","Nick Blankenburg","COL, NSH","D","61","80.633333333333","0","0","0","0","0","0.00","4","0.00","0.55","4","4","2","2","1","1","2","1","1","0","0","1","3","3","5","0","3","0","2","0.00"
"730","Ben Meyers","SEA","C","52","83.75","0","0","0","0","0","-","3","0.00","0.05","3","3","1","0","2","0","0","0","0","0","0","1","1","1","1","0","3","16","16","50.00"
"731","Ethen Frank","WSH","C, R","62","1.4833333333333","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-"
"732","Adam Klapka","CGY","R","79","1.25","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","-"
"733","Pavol Regenda","S.J","L","24","3.6166666666667","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","100.00"
