"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"237","Nathan Walker","STL","L","46","494.08333333333","4","7","4","3","11","57.89","38","10.53","5.21","70","59","45","28","0","7","26","11","11","0","0","7","25","2","179","46","30","51","42","54.84"
"280","Danton Heinen","CBJ, PIT","L","46","497.33333333333","6","5","3","2","11","52.38","43","13.95","6.46","92","70","60","30","3","9","16","8","8","0","0","3","21","9","54","35","22","9","14","39.13"
"298","Jonas Siegenthaler","N.J","D","82","1405.8166666667","0","11","2","9","11","25.58","58","0.00","3.33","164","99","46","15","2","15","46","16","13","2","1","4","82","20","85","146","111","0","0","-"
"326","Jeremy Lauzon","VGK","D","68","1021.1","1","10","3","7","11","27.50","69","1.45","3.55","171","117","32","9","0","11","89","30","22","7","1","24","45","10","238","109","75","0","0","-"
"348","Niko Mikkola","FLA","D","68","1166.75","3","8","3","5","11","28.95","59","5.08","3.63","161","114","42","13","1","12","34","17","17","0","0","16","65","13","99","108","63","0","0","-"
"371","Carl Grundstrom","PHI","R","47","513.4","8","3","0","3","11","55.00","51","15.69","6.81","106","86","59","30","3","5","19","8","7","1","0","7","20","7","140","58","20","7","18","28.00"
"378","Beck Malenstyn","BUF","L","81","750.21666666667","6","5","4","1","11","47.83","67","8.96","9.48","129","102","77","48","1","17","38","12","9","2","1","21","32","8","270","113","49","5","8","38.46"
"395","Pierre-Luc Dubois","WSH","C, L","29","381.1","2","9","4","5","11","57.89","29","6.90","3.89","63","44","38","16","2","8","9","3","2","1","0","11","20","5","21","24","10","138","176","43.95"
"472","Nick Perbix","NSH","D","79","1231.75","3","8","2","6","11","25.00","69","4.35","3.54","165","103","53","5","1","11","16","8","8","0","0","5","86","18","28","72","71","0","0","-"
"494","Isac Lundeström","CBJ","C","68","713.35","4","7","2","5","11","47.83","43","9.30","4.67","75","62","40","19","2","6","2","1","1","0","0","5","37","6","34","54","30","116","104","52.73"
"506","Oskar Bäck","DAL","C","72","712.81666666667","4","7","2","5","11","42.31","34","11.76","6.75","72","54","56","35","0","10","8","4","4","0","0","9","36","12","29","81","25","23","26","46.94"
"519","Nils Lundkvist","DAL","D","52","823.73333333333","3","8","4","4","11","30.56","44","6.82","2","125","72","22","2","4","12","16","8","8","0","0","5","48","7","26","99","46","0","0","-"
"549","Jonathan Aspirot","BOS","D","61","935.4","3","8","2","6","11","20.37","44","6.82","2.42","127","87","25","6","0","20","43","17","14","3","0","9","55","10","82","123","75","0","0","-"
