"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"47","Nazem Kadri","CGY, COL","C","77","250.78333333333","5","14","7","7","19","59.38","48","10.42","8.93","108","80","59","23","0","6","6","3","3","0","0","1","10","1","4","7","1","38","39","49.35"
"122","J.T. Miller","NYR","C","68","213.31666666667","6","13","3","10","19","65.52","35","17.14","8.94","76","66","57","39","0","7","0","0","0","0","0","0","14","1","1","1","0","80","43","65.04"
"148","Teuvo Teravainen","CHI","C","75","209.85","7","12","7","5","19","67.86","27","25.93","4.34","47","38","32","13","0","5","2","1","1","0","0","0","5","1","1","5","0","10","18","35.71"
"275","Kyle Connor","WPG","L","82","254.58333333333","5","14","9","5","19","55.88","44","11.36","5.48","82","65","39","5","0","7","0","0","0","0","0","0","8","0","1","4","0","0","0","-"
"293","Brock Boeser","VAN","R","75","247.36666666667","6","13","8","5","19","47.50","42","14.29","7.84","93","62","61","25","0","6","0","0","0","0","0","0","8","0","1","3","0","6","5","54.55"
"295","Roope Hintz","DAL","C","53","164.5","6","13","7","6","19","51.35","38","15.79","8.94","58","54","51","42","0","10","2","1","1","0","0","1","3","0","1","3","0","92","61","60.13"
"701","Cutter Gauthier","ANA","L","76","213.03333333333","11","8","4","4","19","61.29","66","16.67","8.71","127","96","57","11","0","15","0","0","0","0","0","0","8","3","3","4","1","47","36","56.63"
"53","Dmitry Orlov","S.J","D","82","202.91666666667","1","17","8","9","18","56.25","16","6.25","1.19","41","25","7","0","0","3","2","1","1","0","0","0","8","2","5","2","2","0","0","-"
"74","Brock Nelson","COL","C","81","265.63333333333","10","8","5","3","18","52.94","36","27.78","6.8","64","52","48","23","0","8","2","1","1","0","0","3","5","1","2","7","0","109","74","59.56"
"157","Shayne Gostisbehere","CAR","D","55","173.86666666667","6","12","5","7","18","66.67","29","20.69","3.37","84","56","20","1","0","5","0","0","0","0","0","0","14","4","0","0","3","0","0","-"
"348","Jakob Chychrun","WSH","D","80","241.61666666667","8","10","1","9","18","69.23","56","14.29","7.72","110","84","52","13","0","11","2","1","1","0","0","0","6","8","0","5","4","0","0","-"
"765","Leo Carlsson","ANA","C","70","242.41666666667","4","14","7","7","18","62.07","50","8.00","7.02","90","66","59","20","1","13","21","5","3","1","1","0","14","4","0","4","0","39","43","47.56"
"824","Matthew Schaefer","NYI","D","82","271.56666666667","8","10","2","8","18","62.07","45","17.78","3.84","123","65","48","4","0","12","2","1","1","0","0","1","8","7","0","7","2","0","0","-"
"50","Chris Kreider","ANA","L","75","244.4","8","9","5","4","17","51.52","35","22.86","8.77","63","53","54","40","0","6","4","2","2","0","0","0","7","1","0","0","0","4","3","57.14"
"234","Kevin Fiala","L.A","L","56","190.81666666667","4","13","6","7","17","70.83","38","10.53","6.01","82","60","42","10","0","6","4","2","2","0","0","0","11","7","8","10","0","0","0","-"
"553","Jackson LaCombe","ANA","D","82","264.96666666667","3","14","8","6","17","56.67","35","8.57","4.07","81","52","30","7","0","10","2","1","1","0","0","0","10","5","2","2","5","0","0","-"
"612","Luke Evangelista","NSH","R","81","175.3","1","16","7","9","17","54.84","28","3.57","4.06","45","40","28","14","0","5","0","0","0","0","0","0","7","0","0","6","0","0","0","-"
"644","Josh Doan","BUF","R","82","228.18333333333","9","8","7","1","17","53.13","37","24.32","8.47","60","53","51","35","0","4","2","1","1","0","0","1","10","1","2","15","0","1","1","50.00"
"783","Will Smith","S.J","C","69","227.88333333333","8","9","2","7","17","54.84","50","16.00","6.97","82","63","52","14","1","6","8","4","4","0","0","0","5","0","0","5","1","0","4","0.00"
"31","Jordan Eberle","SEA","R","80","214.55","4","12","6","6","16","59.26","40","10.00","9.96","62","58","55","41","0","5","4","2","2","0","0","2","6","1","2","4","1","1","0","100.00"
"69","Jason Zucker","BUF","L","62","208.4","10","6","4","2","16","51.61","31","32.26","8.15","56","50","49","36","0","7","2","1","1","0","0","1","7","0","0","6","0","29","58","33.33"
"99","Vincent Trocheck","NYR","C","67","206.66666666667","2","14","5","9","16","41.03","38","5.26","8.81","73","61","56","30","0","8","6","2","2","0","0","4","6","2","5","4","0","104","53","66.24"
"128","Rickard Rakell","PIT","R","60","197.88333333333","7","9","4","5","16","51.61","47","14.89","10.28","76","67","69","41","0","12","2","1","1","0","0","2","3","1","4","7","0","15","17","46.88"
"156","Chandler Stephenson","SEA","C","80","213.56666666667","6","10","1","9","16","55.17","23","26.09","3.09","45","36","21","11","0","2","0","0","0","0","0","1","6","2","2","8","2","142","86","62.28"
"205","Seth Jones","FLA","D","52","185.06666666667","5","11","4","7","16","66.67","31","16.13","3.18","92","55","33","1","0","12","0","0","0","0","0","1","10","2","2","1","2","0","0","-"
"210","Bo Horvat","NYI","C","68","242.86666666667","7","9","2","7","16","64.00","54","12.96","8.5","99","76","75","17","0","4","2","1","1","0","0","0","9","0","0","3","0","154","94","62.10"
"213","Josh Morrissey","WPG","D","77","239.5","2","14","6","8","16","50.00","31","6.45","2.42","65","47","13","0","0","9","2","1","1","0","0","0","10","1","2","0","5","0","0","-"
"309","Joel Eriksson Ek","MIN","C","70","249.53333333333","7","9","6","3","16","39.02","51","13.73","13.57","85","75","74","54","0","14","6","3","3","0","0","2","7","1","9","3","0","149","118","55.81"
"416","Morgan Frost","CGY","C","82","220.05","8","8","4","4","16","55.17","36","22.22","7.59","64","52","47","29","0","8","8","4","4","0","0","1","5","1","3","0","0","113","68","62.43"
