playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,I_F_goals,I_F_primaryAssists,I_F_secondaryAssists,I_F_points,I_F_shotsOnGoal,I_F_xGoals,I_F_hits,I_F_takeaways,I_F_giveaways,penalties,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xGoals,OnIce_A_xGoals,onIce_xGoalsPercentage,onIce_corsiPercentage,onIce_fenwickPercentage,total_icetime,total_goals,total_primary_assists,total_secondary_assists,total_points,total_shots,total_hits,total_takeaways,total_giveaways,total_blocks,total_toi_per_game,pp_toi_per_game,pp_goals,pp_points,pp_shots,pp_xgoals,pp_on_ice_xgoals,pp_on_ice_xgoals_percentage,pp_points_per_60,pp_blocks,pp_takeaways,pp_xgoals_against_per_60,pk_toi_per_game,pk_goals,pk_points,pk_shots,pk_xgoals,pk_on_ice_xgoals,pk_on_ice_xgoals_percentage,pk_points_per_60,pk_blocks,pk_takeaways,pk_xgoals_against_per_60,toi_per_game,goals_per_game,primary_assists_per_game,secondary_assists_per_game,points_per_game,shots_per_game,expected_goals_per_game,hits_per_game,takeaways_per_game,giveaways_per_game,blocks_per_game,goals_per_60,points_per_60,shots_per_60,expected_goals_per_60,on_ice_xgoals_for_per_60,on_ice_xgoals_against_per_60,hits_per_60,takeaways_per_60,giveaways_per_60,blocks_per_60,position_group,points_per_game_percentile,goals_per_60_percentile,points_per_60_percentile,shots_per_60_percentile,expected_goals_per_60_percentile,hits_per_60_percentile,takeaways_per_60_percentile,blocks_per_60_percentile,onIce_xGoalsPercentage_percentile,onIce_corsiPercentage_percentile,onIce_fenwickPercentage_percentile
8477940,2025,Nikolaj Ehlers,CAR,L,5on5,82,64050.0,1328.0,89.31,15.0,12.0,7.0,34.0,145.0,11.86,18.0,20.0,73.0,6.0,15.0,20.0,52.93,39.24,0.57,0.61,0.61,81651.0,26.0,29.0,16.0,71.0,208.0,21.0,24.0,87.0,24.0,16.6,2.65,7.0,21.0,37.0,3.23,27.69,0.86,5.8,0.0,0.0,1.24,0.01,0.0,0.0,1.0,0.12,0.12,0.923,0.0,0.0,0.0,0.67,13.02,0.18,0.15,0.09,0.41,1.77,0.14,0.22,0.24,0.89,0.24,0.84,1.91,8.15,0.67,2.97,2.21,1.01,1.12,4.1,1.12,F,78.0,76.0,79.0,91.0,51.0,7.0,70.0,13.0,92.0,99.0,99.0
8477942,2025,Kevin Fiala,LAK,L,5on5,56,50356.0,977.0,45.06,14.0,5.0,0.0,19.0,102.0,10.62,28.0,12.0,59.0,15.0,17.0,21.0,33.09,28.52,0.54,0.54,0.53,64248.0,18.0,12.0,10.0,40.0,147.0,39.0,19.0,75.0,24.0,19.12,3.15,3.0,13.0,27.0,3.01,21.43,0.888,4.42,0.0,6.0,0.92,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.27,14.99,0.25,0.09,0.0,0.34,1.82,0.19,0.5,0.21,1.05,0.38,1.0,1.36,7.29,0.76,2.37,2.04,2.0,0.86,4.22,1.5,F,65.0,86.0,45.0,82.0,69.0,18.0,47.0,28.0,80.0,85.0,80.0
8480813,2025,Joe Veleno,MTL,C,5on5,61,37355.0,790.0,4.2,2.0,0.0,3.0,5.0,43.0,3.87,159.0,7.0,19.0,8.0,7.0,27.0,20.58,23.93,0.46,0.48,0.48,44254.0,2.0,0.0,3.0,5.0,52.0,166.0,8.0,19.0,32.0,12.09,0.05,0.0,0.0,1.0,0.09,0.09,0.9,0.0,1.0,0.0,0.2,1.51,0.0,0.0,7.0,1.02,1.51,0.145,0.0,0.0,1.0,5.79,10.21,0.03,0.0,0.05,0.08,0.7,0.06,2.61,0.11,0.31,0.44,0.19,0.48,4.14,0.37,1.98,2.31,15.32,0.67,1.83,2.6,F,13.0,19.0,13.0,15.0,11.0,91.0,30.0,70.0,29.0,42.0,41.0
8475842,2025,Sam Carrick,BUF,C,5on5,73,41072.0,976.0,15.79,8.0,3.0,2.0,13.0,68.0,7.87,105.0,10.0,27.0,19.0,15.0,33.0,25.62,27.49,0.48,0.48,0.47,45860.0,9.0,5.0,2.0,16.0,75.0,106.0,13.0,29.0,35.0,10.47,0.01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.97,0.0,1.0,6.0,0.1,0.68,0.054,0.85,0.0,3.0,10.16,9.38,0.11,0.04,0.03,0.18,0.93,0.11,1.44,0.14,0.37,0.45,0.7,1.14,5.96,0.69,2.25,2.41,9.2,0.88,2.37,2.89,F,29.0,61.0,32.0,57.0,55.0,72.0,49.0,78.0,42.0,42.0,33.0
8477946,2025,Dylan Larkin,DET,C,5on5,74,63909.0,1367.0,66.28,9.0,11.0,5.0,25.0,125.0,11.7,46.0,10.0,55.0,12.0,19.0,26.0,40.39,45.24,0.47,0.5,0.5,89631.0,34.0,16.0,17.0,67.0,229.0,46.0,18.0,67.0,33.0,20.19,3.14,13.0,19.0,58.0,11.95,37.21,0.933,4.91,4.0,1.0,0.7,1.48,1.0,1.0,10.0,1.38,2.22,0.145,0.55,0.0,3.0,7.21,14.39,0.12,0.15,0.07,0.34,1.69,0.16,0.62,0.14,0.74,0.35,0.51,1.41,7.04,0.66,2.28,2.55,2.59,0.56,3.1,1.46,F,65.0,43.0,49.0,79.0,49.0,25.0,24.0,27.0,35.0,61.0,58.0
8480817,2025,K'Andre Miller,CAR,D,5on5,72,81433.0,1619.0,65.16,6.0,8.0,9.0,23.0,109.0,5.09,91.0,37.0,69.0,25.0,11.0,65.0,66.9,49.71,0.57,0.62,0.62,96737.0,8.0,13.0,16.0,37.0,123.0,101.0,44.0,80.0,79.0,22.39,0.94,1.0,3.0,8.0,0.34,6.63,0.812,2.66,8.0,1.0,1.36,1.81,1.0,2.0,3.0,0.26,3.66,0.215,0.92,0.0,3.0,6.14,18.85,0.08,0.11,0.12,0.32,1.51,0.07,1.26,0.51,0.96,0.9,0.27,1.02,4.82,0.23,2.96,2.2,4.02,1.64,3.05,2.87,D,81.0,77.0,72.0,83.0,81.0,64.0,95.0,17.0,91.0,99.0,98.0
8477948,2025,Travis Sanheim,PHI,D,5on5,81,92608.0,1934.0,35.87,6.0,10.0,11.0,27.0,74.0,5.73,44.0,23.0,91.0,8.0,11.0,114.0,61.43,56.82,0.52,0.48,0.5,117722.0,11.0,13.0,13.0,37.0,95.0,46.0,26.0,105.0,152.0,24.22,1.02,1.0,3.0,5.0,0.63,9.22,0.874,2.18,22.0,0.0,0.96,3.06,1.0,3.0,6.0,0.39,4.18,0.119,0.73,3.0,2.0,7.51,19.06,0.07,0.12,0.14,0.33,0.91,0.07,0.54,0.28,1.12,1.41,0.23,1.05,2.88,0.22,2.39,2.21,1.71,0.89,3.54,4.43,D,83.0,71.0,75.0,27.0,78.0,31.0,64.0,62.0,71.0,44.0,62.0
8477949,2025,Alex Tuch,BUF,R,5on5,79,66578.0,1459.0,69.72,20.0,13.0,14.0,47.0,142.0,13.88,68.0,27.0,50.0,17.0,9.0,57.0,49.21,46.37,0.51,0.51,0.52,90031.0,33.0,18.0,15.0,66.0,195.0,82.0,39.0,60.0,90.0,18.99,1.57,6.0,8.0,26.0,2.53,9.31,0.898,3.87,21.0,0.0,0.51,2.26,2.0,3.0,12.0,1.98,2.7,0.099,1.01,0.0,7.0,8.29,14.05,0.25,0.16,0.18,0.59,1.8,0.18,0.86,0.34,0.63,0.72,1.08,2.54,7.68,0.75,2.66,2.51,3.68,1.46,2.7,3.08,F,95.0,91.0,96.0,86.0,68.0,37.0,88.0,80.0,63.0,68.0,73.0
8475413,2025,Justin Dowling,NYR,C,5on5,2,863.0,24.0,-0.48,0.0,0.0,0.0,0.0,1.0,0.13,3.0,0.0,0.0,0.0,0.0,1.0,0.31,0.88,0.26,0.33,0.35,863.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,7.19,,,,,,,,,,,,,,,,,,,,,,,7.19,0.0,0.0,0.0,0.0,0.5,0.06,1.5,0.0,0.0,0.5,0.0,0.0,4.17,0.54,1.29,3.67,12.51,0.0,0.0,4.17,F,5.0,9.0,5.0,16.0,25.0,85.0,6.0,93.0,3.0,2.0,3.0
8477073,2025,Kurtis MacDermid,OTT,L,5on5,19,4752.0,149.0,-2.1,0.0,1.0,0.0,1.0,4.0,0.18,18.0,0.0,2.0,9.0,7.0,6.0,1.92,4.13,0.32,0.34,0.37,4790.0,0.0,1.0,0.0,1.0,4.0,18.0,0.0,2.0,6.0,4.2,0.03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,4.17,0.0,0.05,0.0,0.05,0.21,0.01,0.95,0.0,0.11,0.32,0.0,0.76,3.03,0.14,1.45,3.13,13.64,0.0,1.52,4.55,F,11.0,9.0,18.0,6.0,2.0,87.0,6.0,95.0,4.0,3.0,4.0
